"onset","duration","trial","sync_side","key","dominant","subject","session"
9.7250073608011,"1.433076680637896","keypress","left","left","synchronous",1,2
9.99384309910238,"0.26883573830127716","keypress","left","right","asynchronous",1,2
10.2074873377569,"0.2136442386545241","keypress","left","left","synchronous",1,2
12.0669452957809,"1.8594579580239952","keypress","left","right","asynchronous",1,2
12.4971412811428,"0.4301959853619337","keypress","left","left","synchronous",1,2
12.974770442117,"0.47762916097417474","keypress","left","right","asynchronous",1,2
13.1337267109193,"0.1589562688022852","keypress","left","left","synchronous",1,2
13.8243091851473,"0.6905824742279947","keypress","left","right","asynchronous",1,2
14.8347871280275,"1.010477942880243","keypress","left","left","synchronous",1,2
15.1532224370167,"0.3184353089891374","keypress","left","right","asynchronous",1,2
15.6313759861514,"0.4781535491347313","keypress","left","left","synchronous",1,2
17.8112035011873,"2.1798275150358677","keypress","left","right","asynchronous",1,2
18.4495935789309,"0.6383900777436793","keypress","left","left","synchronous",1,2
18.610446954146,"0.16085337521508336","keypress","left","right","asynchronous",1,2
18.8217344791628,"0.21128752501681447","keypress","left","left","synchronous",1,2
20.63660182897,"1.814867349807173","keypress","left","right","asynchronous",1,2
22.9753142041154,"2.3387123751454055","keypress","left","left","synchronous",1,2
27.1170816398226,"4.141767435707152","keypress","left","right","asynchronous",1,2
29.3494583121501,"2.2323766723275185","keypress","left","left","synchronous",1,2
29.5089515349828,"0.15949322283267975","keypress","left","right","asynchronous",1,2
30.0934321410023,"0.5844806060194969","keypress","left","left","synchronous",1,2
30.2533600148745,"0.15992787387222052","keypress","left","right","asynchronous",1,2
31.000279283151,"0.7469192682765424","keypress","left","left","synchronous",1,2
31.3186909137294,"0.3184116305783391","keypress","left","right","asynchronous",1,2
32.438141353894,"1.1194504401646554","keypress","left","left","synchronous",1,2
33.1807918688282,"0.742650514934212","keypress","left","right","asynchronous",1,2
33.6058557410724,"0.42506387224420905","keypress","left","left","synchronous",1,2
33.7644968540408,"0.15864111296832561","keypress","left","right","asynchronous",1,2
34.6681212321855,"0.9036243781447411","keypress","left","left","synchronous",1,2
35.6291191261262,"0.9609978939406574","keypress","left","right","asynchronous",1,2
36.1593069811352,"0.5301878550089896","keypress","left","left","synchronous",1,2
37.9130675988272,"1.7537606176920235","keypress","left","right","asynchronous",1,2
38.3366037709638,"0.4235361721366644","keypress","left","left","synchronous",1,2
40.3481845599599,"2.0115807889960706","keypress","left","right","asynchronous",1,2
41.1445935140364,"0.796408954076469","keypress","left","left","synchronous",1,2
42.0460059987381,"0.9014124847017229","keypress","left","right","asynchronous",1,2
42.2079548267648,"0.16194882802665234","keypress","left","left","synchronous",1,2
42.899341924116,"0.691387097351253","keypress","left","right","asynchronous",1,2
43.0597023568116,"0.1603604326955974","keypress","left","left","synchronous",1,2
43.8030741270632,"0.7433717702515423","keypress","left","right","asynchronous",1,2
43.9620164139196,"0.1589422868564725","keypress","left","left","synchronous",1,2
44.7047845157795,"0.7427681018598378","keypress","left","right","asynchronous",1,2
44.8122587958351,"0.10747428005561233","keypress","left","left","synchronous",1,2
49.8057287330739,"4.993469937238842","keypress","left","right","asynchronous",1,2
53.3090557381511,"3.5033270050771534","keypress","left","left","synchronous",1,2
54.8527761371806,"1.543720399029553","keypress","left","right","asynchronous",1,2
55.2249826267362,"0.3722064895555377","keypress","left","left","synchronous",1,2
55.4390568458475,"0.21407421911135316","keypress","left","right","asynchronous",1,2
55.7059353319928,"0.26687848614528775","keypress","left","left","synchronous",1,2
56.7727279127575,"1.0667925807647407","keypress","left","right","asynchronous",1,2
57.4073184239678,"0.6345905112102628","keypress","left","left","synchronous",1,2
58.0455434569158,"0.6382250329479575","keypress","left","right","asynchronous",1,2
58.4720200709999,"0.42647661408409476","keypress","left","left","synchronous",1,2
60.3283137800172,"1.8562937090173364","keypress","left","right","asynchronous",1,2
60.7538013579324,"0.42548757791519165","keypress","left","left","synchronous",1,2
61.2332725329325,"0.4794711750000715","keypress","left","right","asynchronous",1,2
61.4453953928314,"0.21212285989895463","keypress","left","left","synchronous",1,2
61.9779112967663,"0.5325159039348364","keypress","left","right","asynchronous",1,2
62.1365586989559,"0.158647402189672","keypress","left","left","synchronous",1,2
63.0402710358612,"0.9037123369053006","keypress","left","right","asynchronous",1,2
67.0832238588482,"4.04295282298699","keypress","left","left","synchronous",1,2
72.3942226180807,"5.3109987592324615","keypress","left","right","asynchronous",1,2
72.9780292590149,"0.5838066409341991","keypress","left","left","synchronous",1,2
74.7315424671397,"1.7535132081247866","keypress","left","right","asynchronous",1,2
75.8459586058743,"1.1144161387346685","keypress","left","left","synchronous",1,2
78.664105725009,"2.8181471191346645","keypress","left","right","asynchronous",1,2
80.0495004397817,"1.3853947147727013","keypress","left","left","synchronous",1,2
82.5989227700047,"2.549422330223024","keypress","left","right","asynchronous",1,2
84.9352108989842,"2.336288128979504","keypress","left","left","synchronous",1,2
85.307148818858,"0.37193791987374425","keypress","left","right","asynchronous",1,2
85.4669235190377,"0.15977470017969608","keypress","left","left","synchronous",1,2
85.733543429058,"0.2666199100203812","keypress","left","right","asynchronous",1,2
85.9985024239868,"0.2649589949287474","keypress","left","left","synchronous",1,2
87.9167041070759,"1.918201683089137","keypress","left","right","asynchronous",1,2
88.6633839397691,"0.7466798326931894","keypress","left","left","synchronous",1,2
88.8743989318609,"0.21101499209180474","keypress","left","right","asynchronous",1,2
90.043115884997,"1.1687169531360269","keypress","left","left","synchronous",1,2
90.2571184728295,"0.21400258783251047","keypress","left","right","asynchronous",1,2
90.5232340241782,"0.2661155513487756","keypress","left","left","synchronous",1,2
92.8074053479359,"2.2841713237576187","keypress","left","right","asynchronous",1,2
94.2412603730336,"1.4338550250977278","keypress","left","left","synchronous",1,2
94.455976810772,"0.21471643773838878","keypress","left","right","asynchronous",1,2
95.3074052371085,"0.8514284263364971","keypress","left","left","synchronous",1,2
95.6807174710557,"0.37331223394721746","keypress","left","right","asynchronous",1,2
96.105626582168,"0.4249091111123562","keypress","left","left","synchronous",1,2
96.4243663097732,"0.31873972760513425","keypress","left","right","asynchronous",1,2
97.2209783671424,"0.7966120573692024","keypress","left","left","synchronous",1,2
99.5618967027403,"2.340918335597962","keypress","left","right","asynchronous",1,2
102.592127979733,"3.0302312769927084","keypress","left","left","synchronous",1,2
106.742649027146,"4.150521047413349","keypress","left","right","asynchronous",1,2
109.184681991115,"2.4420329639688134","keypress","left","left","synchronous",1,2
114.347501020879,"5.162819029763341","keypress","left","right","asynchronous",1,2
115.728050549049,"1.380549528170377","keypress","left","left","synchronous",1,2
115.994056105148,"0.2660055560991168","keypress","left","right","asynchronous",1,2
116.206449268851,"0.21239316370338202","keypress","left","left","synchronous",1,2
119.236115758773,"3.02966648992151","keypress","left","right","asynchronous",1,2
121.361670074053,"2.1255543152801692","keypress","left","left","synchronous",1,2
121.575726472773,"0.21405639871954918","keypress","left","right","asynchronous",1,2
121.84281288879,"0.2670864160172641","keypress","left","left","synchronous",1,2
122.002650946844,"0.15983805805444717","keypress","left","right","asynchronous",1,2
122.216288169846,"0.2136372230015695","keypress","left","left","synchronous",1,2
122.377915543038,"0.16162737319245934","keypress","left","right","asynchronous",1,2
122.539562999737,"0.16164745669811964","keypress","left","left","synchronous",1,2
122.699139465112,"0.15957646537572145","keypress","left","right","asynchronous",1,2
124.027471552137,"1.3283320870250463","keypress","left","left","synchronous",1,2
125.784720420837,"1.7572488687001169","keypress","left","right","asynchronous",1,2
